BuildingType,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus
NonResidential,47.60699,-122.33346,1928,9,0,65009,65009,0,Hotel,60,73.5,73.5,4777262,4777262,117.9,117.9,410361,1400152,20787,2078675,1298435,183.2,2.8,Compliant
NonResidential,47.60809,-122.33212,1980,33,0,353111,295511,57600,Hotel,70,78.5,78.5,23188590,23188590,163.4,163.4,4008800,13678026,95106,9510564,0,541.6,1.8,Compliant
NonResidential,47.60755,-122.33244,1922,11,0,92190,66990,25200,Hotel,24,146.4,143.8,9867718,9688961,248.4,245.3,952972,3251539,20906,2090646,4346775,350.8,5.2,Compliant
Nonresidential COS,47.60649,-122.33297,2004,11,0,412000,355000,57000,Library,,42.7,42.8,15617546,15675793,116.3,117,4399632,15011544,0,0,664249,75.4,0.2,Compliant
NonResidential,47.60546,-122.33279,1930,6,0,103911,103911,0,Fitness Center/Health Club/Gym,,119,117.7,12369159,12232376,226.2,224.6,1618329,5521739,12656,1265645,5444991,371.4,3.6,Compliant
NonResidential,47.60681,-122.33078,1983,28,0,416281,331281,85000,Hotel,37,95,94.6,33087274,32968230,203.2,203.2,6055088,20659960,123083,12308269,0,708.8,2.1,Compliant
NonResidential,47.60515,-122.33159,1907,5,0,57452,57452,0,Mixed Use Property,,147.5,144.4,8475214,8297564,279.6,276.1,1148053,3917157,24548,2454837,1925571,243.2,4.2,Compliant
NonResidential,47.60376,-122.33194,1916,10,0,104352,104352,0,Hotel,57,82.8,82.8,8644233,8644233,189,189,1729638,5901525,6626,662619,2080088,161.5,1.5,Compliant
NonResidential,47.60265,-122.33051,1916,10,0,540360,540360,0,Courthouse,58,94.1,92.3,50547020,49571632,175.5,173.6,6900411,23544202,260274,26027431,0,1445.2,2.7,Compliant
NonResidential,47.60378,-122.32842,1985,19,0,385274,385274,0,Prison/Incarceration,,142.6,141.2,48396060,47901700,237.9,237.8,5089567,17365603,305361,30536094,0,1668.1,4.3,Compliant
SPS-District K-12,47.54576,-122.26853,1961,2,0,56228,56228,0,K-12 School,91,27,25.8,1593467,1519057,54.2,52.4,250309,854056,6650,665001,0,37.6,0.7,Compliant
NonResidential,47.65959,-122.31755,2001,6,1,98356,67770,30586,Hotel,95,52.3,52,3542863,3521933,112.2,111.9,650600,2219847,13021,1302086,0,75.1,1.1,Compliant
NonResidential,47.61816,-122.33629,1928,7,0,126593,126593,0,College/University,,97.3,94,12157912,11747831,168.2,164.8,1383186,4719431,70284,7028399,0,385.9,3,Compliant
NonResidential,47.61301,-122.32929,1991,8,0,158676,128375,30301,Hotel,49,97,96.1,11370701,11265730,187.6,186,1669762,5697228,55685,5568502,0,311,2.4,Compliant
NonResidential,47.61784,-122.32966,2001,10,0,171866,133585,38281,Hotel,60,87,86.9,11209339,11199122,170.5,171.2,1726193,5889771,53093,5309350,0,297.7,2.2,Compliant
SPS-District K-12,47.62266,-122.30547,1955,1,0,126351,126351,0,K-12 School,96,26.8,24.9,3385705,3147250,35.8,33.3,151593,517237,26300,2630014,0,141.1,1.1,Compliant
NonResidential,47.61558,-122.34186,1978,5,0,68410,52210,16200,Hotel,67,78.6,78.1,4102638,4079408,161.5,160.3,684289,2334795,17446,1744613,0,98.9,1.9,Compliant
SPS-District K-12,47.70994,-122.29301,1949,2,0,160645,160645,0,K-12 School,71,39.8,37.4,6603814,6206542,61.9,59,548087,1870074,43365,4336468,0,235.3,1.5,Compliant
SPS-District K-12,47.6329,-122.35172,1989,2,0,51582,51582,0,K-12 School,73,27,26.1,1491331,1439059,75.7,73,421764,1439059,0,0,0,3.8,0.1,Compliant
NonResidential,47.6641,-122.33118,1906,3,0,87262,87262,0,Office,,57,54.2,4469855,4247380,86.3,83,343098,1170649,30767,3076732,0,166.5,1.9,Compliant
NonResidential,47.66583,-122.29965,1994,4,0,81871,81871,0,Hotel,27,78.2,78.3,6399247,6406894,148.4,148.7,912037,3111871,32950,3295023,0,183.3,2.2,Compliant
NonResidential,47.66172,-122.29598,1955,2,0,26225,26225,0,Self-Storage Facility,,10.7,10.5,279595,276530,26.5,26.4,67418,230030,465,46500,0,3.1,0.1,Compliant
Campus,47.53493,-122.31788,1992,3,0,2026324,2026324,0,Mixed Use Property,,293,286.1,581511936,567845632,453.5,446.3,48479000,165410348,4024353,402435300,0,21814.9,10.8,Compliant
SPS-District K-12,47.65671,-122.39047,1990,2,0,54986,54986,0,K-12 School,73,32.2,30.7,1771207,1688685,73,70.1,348618,1189486,4992,499199,0,29.7,0.5,Compliant
SPS-District K-12,47.68252,-122.29498,1950,2,0,175565,175565,0,K-12 School,93,34.7,32.3,6230373,5797068,50.7,47.9,420665,1435310,43618,4361758,0,235.5,1.3,Compliant
NonResidential,47.66587,-122.38476,1961,2,0,94900,94900,0,Office,10,132.3,129.2,6563108,6408345,290.7,288.4,1269742,4332360,20760,2075985,0,121.8,1.3,Compliant
NonResidential,47.58034,-122.31132,1900,2,0,52554,52554,0,Office,77,48.6,46.4,2860714,2729815,77.6,74.9,258171,880881,18489,1848934,0,100.5,1.9,Compliant
NonResidential,47.68891,-122.33553,1954,3,0,175015,175015,0,K-12 School,69,57.5,54.6,10059544,9547488,90.2,86.6,860602,2936376,66111,6611112,0,359,2.1,Compliant
NonResidential,47.61351,-122.35129,1911,3,0,70586,70586,0,Self-Storage Facility,,31.1,30.4,2193202,2142204,71.3,70.6,456319,1556961,5852,585243,0,35.2,0.5,Compliant
NonResidential,47.60946,-122.33337,1969,24,0,332210,126240,205970,Hotel,95,44.5,44.3,15512941,15431908,92.8,92.5,2689945,9178092,62538,6253815,0,356.6,2.8,Compliant
NonResidential,47.6113,-122.33659,1973,5,0,168115,168115,0,Office,78,53.5,53.8,9066856,9114712,149.7,150.5,2671369,9114711,0,0,0,24.3,0.1,Compliant
NonResidential,47.61076,-122.33765,1920,2,0,57428,57428,0,Other - Mall,,18.2,18.2,1043196,1043196,39.4,39.4,195653,667569,3756,375626,0,21.7,0.4,Compliant
NonResidential,47.61048,-122.33794,1910,8,0,59400,59400,0,Office,,47.3,47.3,2599818,2599818,132.4,132.4,761963,2599818,0,0,0,6.9,0.1,Compliant
NonResidential,47.60886,-122.33744,1926,2,0,52549,52549,0,Mixed Use Property,,305.1,298.3,16002685,15648427,471.4,465.6,1338469,4566856,110816,11081570,0,600.7,11.4,Compliant
NonResidential,47.61233,-122.33432,1930,20,0,98634,88591,10043,Hotel,51,84.4,83.8,7651354,7591841,184.2,182.3,1379876,4708137,8080,807954,2075751,165.8,1.9,Compliant
Campus,47.61087,-122.33339,1982,34,2,1083197,926614,156583,Hotel,65,88.6,87.9,88123088,87435872,176.9,176.2,13669650,46640846,292765,29276491,11518554,2291.7,2.5,Compliant
NonResidential,47.60997,-122.34138,1985,7,0,71150,71150,0,Hotel,98,88.9,88.6,5105488,5088944,190.1,189.8,929902,3172825,19161,1916119,0,110.2,1.5,Compliant
NonResidential,47.61155,-122.34114,1908,7,0,122810,122810,0,Hotel,99,51.9,49.4,6373928,6070163,73.2,70.6,383784,1309471,47607,4760692,0,256.3,2.1,Compliant
NonResidential,47.61986,-122.34413,1959,5,0,113173,70627,42546,Hotel,92,68.3,67.9,4826396,4792422,135.7,134.3,746117,2545752,22467,2246670,0,126.1,1.8,Compliant
NonResidential,47.62001,-122.34274,2000,7,0,150453,115718,34735,Hotel,88,66.4,66,7682808,7635998,124.3,124.2,1064094,3630689,40053,4005307,0,222.4,1.9,Compliant
NonResidential,47.62025,-122.34314,1997,6,0,116300,88100,28200,Hotel,85,60.6,60.6,5358454,5358454,123.4,123.4,886436,3024518,23339,2333936,0,132,1.5,Compliant
NonResidential,47.62023,-122.35951,1998,6,0,155602,118858,36744,Hotel,95,45.7,45.6,7105433,7099446,92.6,92.4,1160748,3960472,31390,3138974,0,177.3,1.5,Compliant
NonResidential,47.63442,-122.30793,1911,3,0,56072,56072,0,K-12 School,57,63.6,59.9,3563641,3358370,84.1,79.8,159101,542853,28155,2815516,0,151,2.7,Compliant
NonResidential,47.62519,-122.34456,1999,4,0,122942,78051,44891,Hotel,95,65.3,65.2,5099893,5089622,122.5,122.1,700906,2391491,26981,2698131,0,149.7,1.9,Compliant
NonResidential,47.60823,-122.30956,1962,2,0,54984,54984,0,Office,62,66.1,63.8,3633946,3510100,128.5,126.2,544540,1857972,16521,1652128,0,92.7,1.7,Compliant
NonResidential,47.55837,-122.37751,1922,5,0,371257,296313,74944,Senior Care Community,57,149.1,144.6,44165828,42848800,224.9,220.2,3393000,11576916,312719,31271884,0,1691.8,5.7,Compliant
NonResidential,47.72426,-122.35599,1970,2,0,93397,93397,0,Senior Care Community,1,173.3,172.4,16182456,16100519,284,282.7,1590832,5427919,106726,10672602,0,581.3,6.2,Compliant
NonResidential,47.61988,-122.33211,2008,6,0,84103,63371,20732,Hotel,76,66.1,65.7,4186683,4162604,158.7,158.3,948464,3236160,9264,926443,0,57.8,0.9,Compliant
SPS-District K-12,47.5097,-122.37759,1948,2,0,53352,53352,0,K-12 School,100,7.8,7.8,704390,704390,21.7,21.7,206445,704390,0,0,0,1.9,0,Account Requires Verification
NonResidential,47.61244,-122.3214,1965,3,2,241014,119305,121709,Medical Office,63,93.7,91,16768501,16293902,185.7,182.9,2618000,8932616,73613,7361286,0,414.8,3.5,Compliant
NonResidential,47.60898,-122.32693,1908,7,0,76631,76631,0,Hotel,73,92.2,91.5,7062656,7008332,152.7,152.6,726646,2479315,45290,4529017,0,247.2,3.2,Compliant
NonResidential,47.60845,-122.32637,1983,6,0,99780,90439,9341,Mixed Use Property,,191,189.6,14446802,14342250,427.3,426.9,2760829,9419949,0,0,4922300,286.8,3.2,Compliant
NonResidential,47.62237,-122.33805,1929,2,1,58320,58320,0,Retail Store,,8.1,7.7,505431,480558,12.6,12.2,42665,145574,3350,334984,0,18.2,0.3,Compliant
NonResidential,47.62424,-122.33646,2010,5,2,317687,166961,150726,Office,90,54.2,53.9,15574155,15489316,134.3,134.1,3728756,12722515,27668,2766801,0,180.9,1.1,Compliant
NonResidential,47.62642,-122.33325,1990,7,0,282863,238097,44766,Hotel,73,76,74.7,18145262,17842512,146.1,144.8,2652970,9051934,87906,8790580,0,491,2.1,Compliant
Nonresidential COS,47.62141,-122.35086,1962,1,0,389000,389000,0,Other,,47.7,48,17550918,17671616,111.3,111.6,3722328,12700583,5292,529232,3135800,228.7,0.6,Compliant
Nonresidential COS,47.62141,-122.35086,1962,1,0,91213,91213,0,Other,,96.1,93.2,6247680,6060956,210.2,205.5,1122689,3830615,0,0,2045680,119,1.3,Compliant
Nonresidential COS,47.62141,-122.35086,1938,5,0,396085,396085,0,Other,,74.4,75.9,20723526,21143556,122.7,124.1,1918146,6544714,0,0,10041840,551.3,1.4,Compliant
NonResidential,47.62112,-122.33629,2010,12,0,571329,571329,0,Office,88,60.3,60.2,37659228,37603100,149.4,149.1,8994728,30690012,69131,6913089,0,449.1,0.8,Compliant
Nonresidential COS,47.62395,-122.35143,1962,2,0,52000,52000,0,Social/Meeting Hall,,51.2,50.8,2812517,2793789,116,115.5,557268,1901399,0,0,732210,44,0.8,Compliant
Nonresidential COS,47.62395,-122.35143,1928,2,0,262048,262048,0,Other,,78.1,77.5,23115938,22925618,168.7,166.7,4148040,14153112,5807,580726,5634930,368.2,1.4,Compliant
NonResidential,47.62391,-122.34837,1986,2,0,66240,63888,2352,Office,,77.2,77.2,4294517,4294517,216.1,216.1,1258651,4294517,0,0,0,11.5,0.2,Compliant
NonResidential,47.62419,-122.34443,2010,6,0,920598,616891,303707,Office,83,49.9,49.5,36720756,36406928,116,116.2,7913267,27000067,94069,9406863,0,571.7,0.9,Compliant
NonResidential,47.62053,-122.35842,1970,4,0,76213,50283,25930,Office,63,63.7,62.5,3244416,3185760,153.3,152.1,737629,2516791,6690,668970,0,42.2,0.8,Compliant
NonResidential,47.62291,-122.35708,2002,6,0,127200,81560,45640,Hotel,65,69.1,68.9,5637579,5621753,127.2,126.6,740931,2528057,30937,3093696,0,171.1,2.1,Compliant
NonResidential,47.65772,-122.31756,1962,4,0,71403,60953,10450,Hotel,34,88,87.4,5361037,5329954,151.3,150.8,601690,2052966,32770,3276988,0,179.5,2.9,Compliant
SPS-District K-12,47.5636,-122.358,1999,3,0,74468,74468,0,K-12 School,82,27.2,26.7,2046344,2012943,66.6,65.3,470821,1606440,4065,406503,0,25.9,0.3,Compliant
NonResidential,47.62548,-122.30828,1923,3,0,67743,67743,0,K-12 School,19,53.8,50.7,3642282,3435753,100.1,96.2,487332,1662776,17730,1772976,0,98.6,1.5,Compliant
NonResidential,47.62644,-122.30429,1908,6,0,194104,194104,0,K-12 School,91,37.7,35.5,7662556,7205274,58.5,55.8,630600,2151608,50537,5053665,0,274.1,1.4,Compliant
NonResidential,47.58408,-122.30125,2003,3,0,99433,63681,35752,Office,53,81.6,80.5,5195504,5128164,228.4,225.5,1502979,5128164,0,0,0,13.7,0.2,Compliant
SPS-District K-12,47.57324,-122.29058,1991,2,0,60725,60725,0,K-12 School,47,35.4,34,2152186,2061667,99.2,95.1,604240,2061666,0,0,0,5.5,0.1,Compliant
SPS-District K-12,47.56413,-122.31208,1957,1,0,130862,130862,0,K-12 School,59,49.7,47.1,6921308,6554594,79.6,76.1,622792,2124965,44296,4429630,0,240.9,1.8,Compliant
SPS-District K-12,47.55478,-122.27596,1989,3,0,59955,59955,0,K-12 School,71,26.9,26.3,1614727,1575261,71.2,69.6,422345,1441041,1342,134220,0,11,0.2,Compliant
SPS-District K-12,47.63683,-122.35896,1964,2,0,93218,93218,0,K-12 School,73,32.5,31.1,3034159,2900274,61,59.5,419215,1430360,14699,1469914,0,81.9,0.9,Compliant
NonResidential,47.67524,-122.31534,1941,4,0,56521,56521,0,Other,,109.2,109.2,5352058,5352058,305.8,305.8,1568599,5352060,0,0,0,14.3,0.3,Compliant
NonResidential,47.67559,-122.31769,1929,2,0,228385,128315,100070,Other,,125.7,126,16260586,16303865,319.8,321.4,4097607,13981035,23228,2322829,0,160.7,1.3,Compliant
NonResidential,47.54854,-122.33651,1999,1,1,50294,50294,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
NonResidential,47.73141,-122.3458,2001,4,0,51390,51390,0,Hotel,84,79.4,79.4,4082248,4082248,132.7,132.7,424105,1447046,26352,2635202,0,143.8,2.8,Compliant
SPS-District K-12,47.72463,-122.35315,1963,2,0,131013,131013,0,K-12 School,91,34.2,33.9,4513635,4472441,57,56.6,464426,1584621,28878,2887820,0,157.6,1.2,Compliant
SPS-District K-12,47.7257,-122.33684,1959,1,0,245587,245587,0,K-12 School,90,41.1,40.6,10250726,10121895,65.9,65.3,946489,3229420,68925,6892475,0,374.7,1.5,Compliant
NonResidential,47.72529,-122.34115,2002,3,0,69138,69138,0,Hotel,84,42.8,42.6,3020059,3010748,88,87.8,509217,1737448,12733,1273300,0,72.3,1,Compliant
SPS-District K-12,47.65464,-122.34912,1991,3,0,66588,66588,0,K-12 School,79,25.4,24.8,1693095,1652397,71.2,69.5,484290,1652396,0,0,0,4.4,0.1,Compliant
SPS-District K-12,47.53284,-122.37493,1926,3,0,50662,50662,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
NonResidential,47.6048,-122.3368,1904,5,2,190980,190980,0,Hotel,98,36.9,36.6,7047188,6986186,85.5,84.6,1476532,5037927,19483,1948259,0,116.9,0.6,Compliant
Nonresidential COS,47.60804,-122.3367,1998,6,1,174000,174000,0,Mixed Use Property,,96.3,95.6,16604994,16476084,205.8,206,2895001,9877743,4802,480213,6118126,377.1,2.2,Compliant
Campus,47.66737,-122.37956,1954,5,2,451526,302661,148865,Hospital (General Medical & Surgical),33,,210.2,,63605736,,401.2,9151495,31224901,323808,32380834,0,1803.1,6,Compliant
SPS-District K-12,47.6706,-122.36225,1991,2,0,55513,55513,0,K-12 School,76,24.1,23.4,1490934,1444802,67.6,65.5,423447,1444801,0,0,0,3.9,0.1,Compliant
Nonresidential COS,47.60102,-122.32873,2006,4,1,61156,61156,0,Fire Station,,154,152.7,8923152,8849525,358.1,359.2,1930407,6586549,22630,2262976,0,137.8,2.3,Compliant
NonResidential,47.59809,-122.32283,1910,4,0,72820,59000,13820,Museum,,27.2,26.7,1574920,1546257,61.2,60.7,317430,1083072,4632,463185,0,27.5,0.5,Compliant
NonResidential,47.62614,-122.3467,1996,4,0,162222,148022,14200,Hotel,97,50,50,5686356,5686356,99,99,884936,3019403,26670,2666953,0,149.7,1,Compliant
SPS-District K-12,47.57589,-122.29365,1990,4,0,289588,289588,0,K-12 School,93,25.8,25,7463115,7245292,58.1,57.3,1505188,5135701,21096,2109592,0,125.8,0.4,Compliant
NonResidential,47.61495,-122.32177,1915,3,1,64820,64820,0,College/University,,57.7,55.5,3739678,3600283,116.7,114.5,609739,2080429,15199,1519854,0,86.3,1.3,Compliant
Campus,47.547,-122.35307,1970,2,27,529343,529343,0,College/University,,67.9,66,35956032,34918664,140.2,137.4,6038775,20604300,143144,14314366,0,815.2,1.5,Compliant
NonResidential,47.67836,-122.26442,2002,2,0,96300,96300,0,Office,,166.9,166.5,16228430,16189953,401.1,402.7,3710922,12661666,35283,3528285,0,221.2,2.3,Compliant
Nonresidential COS,47.59545,-122.32146,1950,1,0,67356,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,91.7,86.4,6215522,5853944,145.6,139.2,550570,1878544,39754,3975400,0,216.1,3.2,Compliant
SPS-District K-12,47.60598,-122.30156,2008,3,0,254523,254523,0,K-12 School,66,44.9,43.2,11588689,11138574,93,90.6,1956338,6675025,44635,4463548,0,254.9,1,Compliant
SPS-District K-12,47.51482,-122.25864,2001,3,0,78804,78804,0,K-12 School,68,32.8,32,2584698,2521479,70.9,70.1,481195,1641838,8796,879641,0,51.1,0.6,Compliant
SPS-District K-12,47.61224,-122.29087,2002,3,0,66994,66994,0,K-12 School,78,29.9,29.3,2038272,1994152,71,70.3,451218,1539557,4546,454595,0,28.3,0.4,Compliant
SPS-District K-12,47.52915,-122.28904,2000,3,0,98357,98357,0,K-12 School,78,35.4,34.1,3480769,3357365,67.4,66.1,497707,1698177,16592,1659188,0,92.7,0.9,Compliant
NonResidential,47.53827,-122.28406,1958,1,0,54765,54765,0,Office,,89.6,88.4,4547646,4487235,220.5,219.2,1074934,3667675,8196,819559,0,53.3,1,Compliant
NonResidential,47.53722,-122.284,2009,5,0,89821,89821,0,Other - Lodging/Residential,,25.8,24.8,2299586,2206098,28.6,27.4,21204,72349,21337,2133749,0,113.5,1.3,Compliant
NonResidential,47.65147,-122.36122,1980,2,0,52611,52611,0,College/University,,74.4,72.5,3913007,3814807,154.6,152.7,674506,2301413,15134,1513394,0,86.5,1.6,Compliant
Multifamily LR (1-4),47.65068,-122.36331,2001,4,0,139600,102100,37500,Residence Hall/Dormitory,89,35.1,33.7,4759197,4563306,67.3,65.1,675971,2306412,22569,2256894,0,126,1.2,Compliant
SPS-District K-12,47.70763,-122.29453,2011,2,0,236758,236758,0,K-12 School,86,29.5,28.4,7151396,6870815,60.2,58.5,1162735,3967252,29036,2903562,0,164.8,0.7,Compliant
Campus,47.60462,-122.31549,1971,6,3,250981,250981,0,Other,,61.2,59.4,13219030,12825968,131,128.8,2288194,7807318,5710,571000,4447650,287.6,1.1,Compliant
SPS-District K-12,47.68725,-122.35996,2002,3,0,62526,62526,0,K-12 School,76,33,31.6,2065849,1975738,67.4,65.4,337723,1152311,8234,823428,0,46.8,0.7,Compliant
NonResidential,47.536,-122.31768,2007,3,0,64015,64015,0,Mixed Use Property,37,39.9,39.5,2418106,2392246,100.9,100.4,598930,2043548,3487,348698,0,24,0.4,Compliant
Campus,47.70759,-122.3255,1951,1,0,530039,530039,0,Retail Store,92,55.1,54.5,29208644,28883720,106.4,106.1,4340436,14809568,140742,14074152,0,787,1.5,Compliant
NonResidential,47.7066,-122.321,1964,3,0,54224,54224,0,Other/Specialty Hospital,,124.9,122.3,5869804,5749292,248,245.3,920597,3141077,26082,2608215,0,146.9,2.7,Compliant
NonResidential,47.70619,-122.32586,1965,4,0,124342,124342,0,Retail Store,30,71,71.9,8667062,8771484,196.9,199.5,2532896,8642241,1292,129243,0,29.9,0.2,Compliant
Campus,47.66231,-122.28146,1953,10,0,879000,879000,0,Hospital (General Medical & Surgical),19,281.9,280.3,252939408,251523536,500.7,502,31212440,106496845,1450267,145026700,0,7986.7,9.1,Compliant
NonResidential,47.70956,-122.3345,1996,3,0,55442,55442,0,Financial Office,77,84.9,84.1,3163540,3135920,172,171.2,517392,1765340,13706,1370580,0,77.5,1.4,Compliant
SPS-District K-12,47.67661,-122.37489,1999,2,0,242795,242795,0,K-12 School,78,31.2,30.4,7800045,7593424,80.2,78.3,1936938,6608832,9846,984592,0,69.9,0.3,Compliant
NonResidential,47.61233,-122.3171,1910,5,0,84870,84870,0,Self-Storage Facility,,20.2,19.4,1726033,1662674,36.7,35.9,222237,758273,9044,904401,0,50.1,0.6,Compliant
Campus,47.69936,-122.33401,1970,2,11,694072,582447,111625,College/University,,66.4,64.6,43362756,42186536,160.2,156.9,9748726,33262653,89239,8923883,0,562.7,1,Compliant
SPS-District K-12,47.54632,-122.28198,1952,2,0,173185,173185,0,K-12 School,77,43.1,41,7462912,7095286,59.9,57.7,425748,1452652,56426,5642633,0,303.6,1.8,Compliant
SPS-District K-12,47.54862,-122.36214,1963,1,0,145341,145341,0,K-12 School,84,36.3,34.6,4696668,4469764,60.6,58.5,479370,1635611,28342,2834153,0,154.9,1.1,Compliant
NonResidential,47.55152,-122.31869,1904,4,0,114297,114297,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
SPS-District K-12,47.52407,-122.26586,1960,2,0,184125,184125,0,K-12 School,72,48.7,45.7,8920954,8383711,75.9,72.8,761925,2599689,57840,5784022,0,314.1,1.7,Compliant
SPS-District K-12,47.69675,-122.3776,1959,1,0,160270,160270,0,K-12 School,95,29.5,27.8,5128972,4835158,44.3,42.2,378272,1290663,35445,3544495,0,191.7,1.2,Compliant
NonResidential,47.55901,-122.33328,1937,1,0,234144,234144,0,Non-Refrigerated Warehouse,89,18.4,16.9,4309270,3954128,23,21.3,139241,475091,34790,3479038,0,186,0.8,Compliant
NonResidential,47.52254,-122.36627,1966,1,0,64984,64984,0,Retail Store,69,42.5,42.4,2781845,2776261,108.4,109,706146,2409370,3669,366891,0,25.9,0.4,Compliant
NonResidential,47.52254,-122.36627,1965,1,0,67745,67745,0,Retail Store,8,150.4,148.1,10191043,10041063,229.1,228,822541,2806509,72346,7234554,0,391.7,5.8,Compliant
SPS-District K-12,47.52915,-122.36511,2010,2,0,367884,367884,0,K-12 School,81,33,31.9,12125272,11738394,69.8,68.7,2169460,7402198,43362,4336197,0,250.1,0.7,Compliant
SPS-District K-12,47.51778,-122.37074,1958,1,0,46797,46797,0,K-12 School,78,48.5,45.8,2268118,2143212,77.2,73.3,197775,674809,14684,1468403,0,79.8,1.7,Compliant
SPS-District K-12,47.59796,-122.30415,1963,3,0,136188,136188,0,K-12 School,86,34.5,33.2,4735538,4549906,60.5,59.1,556736,1899582,26503,2650324,0,145.8,1.1,Compliant
SPS-District K-12,47.54174,-122.27691,2004,2,0,67371,67371,0,K-12 School,71,32.2,31.4,2167818,2113420,68.9,68.1,396455,1352706,7607,760714,0,44,0.7,Compliant
NonResidential,47.54508,-122.37737,1969,2,0,52088,52088,0,Self-Storage Facility,,28.6,27.1,1489258,1409419,48.9,47,161727,551813,8576,857606,0,47,0.9,Compliant
SPS-District K-12,47.65708,-122.33803,2010,3,0,127776,127776,0,K-12 School,61,31.2,30.6,3995888,3921780,76.1,75.5,929768,3172370,7494,749411,0,48.3,0.4,Compliant
NonResidential,47.62972,-122.32906,1998,5,0,123920,93920,30000,Hotel,89,72.3,70.2,8965128,8702294,134.4,130.2,1170989,3995414,47069,4706879,0,260.6,2.8,Compliant
Nonresidential COS,47.62759,-122.33661,1900,1,0,50000,50000,0,Museum,,175.2,172.4,7535307,7415348,331.5,331.1,1080574,3686918,37284,3728431,0,207.9,4.2,Compliant
Nonresidential COS,47.62552,-122.34064,1926,2,0,50292,50292,0,Non-Refrigerated Warehouse,,4.8,4.2,242715,212742,13.5,11.8,62351,212742,0,0,0,0.6,0,Compliant
NonResidential,47.62782,-122.34045,1998,7,0,207656,153315,54341,Hotel,79,76.2,74.7,10782328,10580551,149,146.9,1623491,5539351,50412,5041200,0,282.5,1.8,Compliant
